application_date,age,annual_income,credit_score,employment_status,education_level,experience,loan_amount,loan_duration,marital_status,number_of_dependents,home_ownership_status,monthly_debt_payments,credit_card_utilisation_rate,number_of_open_credit_lines,number_of_credit_inquiries,bankruptcy_history,loan_purpose,previous_loan_defaults,payment_history,length_of_credit_history,savings_account_balance,checking_account_balance,total_assets,total_liabilities,monthly_income,utility_bills_payment_history,job_tenure,net_worth,base_interest_rate,interest_rate,monthly_loan_payment,debt_to_income_ratio,total_debt_to_income_ratio,loan_approved,risk_score,employment_stability,low_employment_risk,employment_tenure_squared,recent_job_change,high_debt_burden,debt_to_assets_ratio,net_worth_risk,financial_cushion,savings_to_loan_ratio,good_payment_history,new_credit_user,credit_seeking_behavior,high_card_utilisation,number_open_accounts_risk,excellent_credit,very_good_credit,good_credit,fair_credit,poor_credit,home_owner,mortgaged_home,renting,above_median_income,monthly_surplus,insufficient_income_buffer,has_dependents,high_dependent_burden,single_with_dependents,education_score,advanced_degree,long_term_loan,large_loan_amount,loan_to_income_ratio,risky_loan_purpose,financial_stress_score,multiple_risk_factors,bankruptcy_flag,previous_defaults,default_history,utility_payment_risk,risky_behavior_cluster,young_borrower,retirement_age,married
2018-01-15,34,112822,593,0,4,15,30442,60,3,0,2,833,0.0644108363279419,3,1,0,2,0,91,3,5981,1083,26436,9926,9401.833333333334,0.9222140835340946,8,16510,0.1810809028404132,0.1755139792825709,765.6169342994085,0.0885903185210131,0.1700143858375392,1,0.9249941507390672,1,1,64,0,0,0.37545863751560316,0,7064,0.2320402062871596,1,1,0,0,0,0,0,0,0,1,1,0,0,1,8568.833333333334,0,0,0,0,4,1,1,0,0.26982086985809633,0,1,0,0,0,0,0,0,0,0,0
2018-01-16,34,27254,619,0,3,13,10358,36,1,2,0,128,0.2793707579348625,4,0,0,4,0,97,7,3876,218,155290,47912,2271.1666666666665,0.8087041181966618,5,107378,0.1598114027465145,0.1892327699038385,379.2813791933008,0.0563338956942712,0.2232588773681365,0,1.044150116793786,1,1,25,0,0,0.3085304364064885,0,4094,0.3952118930398687,1,1,0,0,0,0,0,0,0,1,0,1,0,0,2143.1666666666665,0,1,0,0,1,0,0,0,0.3800403595670519,1,1,0,0,0,0,0,0,0,0,1
2018-01-16,42,29994,605,0,3,21,12043,12,1,2,0,156,0.1786397362555843,2,3,0,4,0,92,7,6165,2336,46117,16109,2499.5,0.7249301580836465,3,30008,0.1588490804724004,0.160842320167714,1093.1518163252642,0.0623875224955009,0.4995608143672322,1,2.376757960257643,1,0,9,0,0,0.34929962270696907,0,8501,0.7058286283626702,1,1,1,0,0,0,0,0,0,1,0,1,0,0,2343.5,0,1,0,0,1,0,0,0,0.4015002500416736,1,2,0,0,0,0,0,0,0,0,1
2018-01-18,18,38292,452,0,1,0,6365,24,1,3,3,313,0.1588965512437599,5,4,0,4,0,89,23,1941,1451,68201,13966,3191.0,0.6563974822780272,1,54235,0.2391896816519605,0.25,339.7097266791848,0.0980576441102756,0.2044829970799451,1,2.863626106402376,0,0,1,0,0,0.2047740535468168,0,3392,0.5328306628966384,1,1,1,0,0,0,0,0,0,1,0,0,1,0,2878.0,0,1,1,0,3,0,0,0,0.16621836889248687,1,2,0,0,0,0,1,0,1,0,1
2018-01-19,19,48532,432,0,1,0,15640,36,3,1,0,385,0.4828098378043665,5,0,0,1,0,98,2,3719,3245,38962,15763,4044.3333333333335,0.6913078782350075,4,23199,0.2534144127376685,0.25,621.8436770956379,0.0951713909030982,0.2488901640809915,1,2.3668792035421604,1,0,16,0,0,0.4045633036470498,0,6964,0.44524007416405603,1,1,0,0,0,0,0,0,0,1,0,1,0,0,3659.3333333333335,0,1,0,0,3,0,0,0,0.3222549605423114,1,1,0,0,0,0,1,0,1,0,0
2018-01-19,33,38551,533,0,3,11,181290,360,1,2,2,221,0.2336628527882609,1,2,0,3,0,98,8,814,3153,16636,12925,3212.583333333333,0.9573355042663996,8,3711,0.3115269646885081,0.25,3779.1326092533095,0.0687705832015144,1.2447577032658173,0,3.776751141219422,1,1,64,0,0,0.7768828514756266,0,3967,0.02188194670446961,1,1,0,0,0,0,0,0,0,1,1,0,0,0,2991.583333333333,0,1,0,0,1,0,1,1,4.702479767586636,0,1,0,0,0,0,0,0,0,0,1
2018-01-22,27,67839,506,0,1,5,12585,48,1,0,3,418,0.5042842511632722,3,2,0,4,0,92,11,19061,124,32225,79329,5653.25,0.6586589014707762,5,9419,0.2203600850910217,0.2212165514739971,397.3356445554156,0.0739266923110934,0.1441987256586489,1,1.214062785611849,1,1,25,0,0,2.4616458760007447,0,19185,1.5243127284284126,1,1,0,0,0,0,0,0,0,1,0,0,1,1,5235.25,0,0,0,0,3,0,1,0,0.18551002358490565,1,1,0,0,0,0,1,0,1,0,1
2018-01-25,43,22492,562,0,3,25,264227,300,2,3,2,78,0.4756453839072005,3,1,0,3,0,92,16,994,608,92596,19463,1874.3333333333333,0.8107493791836188,6,73133,0.2771211419114432,0.2367752415094878,5228.415889121618,0.0415926057589761,2.8295854367872124,0,7.604207405845583,1,1,36,0,0,0.21019039493720099,0,1602,0.0060629456378582134,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1796.3333333333333,0,1,1,1,1,0,1,1,11.747076868359045,0,1,0,0,0,0,0,0,0,0,0
2018-01-25,29,26718,553,0,3,5,82759,360,1,1,3,380,0.0719779546003773,2,0,0,3,0,94,26,1511,285,36203,51104,2226.5,0.7938759231539341,5,7190,0.3013309250329649,0.25,1725.1764333895671,0.1705948372615039,0.9450848185811748,0,3.725601213247192,1,1,25,0,0,1.4115567340625346,0,1796,0.021701304978250364,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1846.5,0,1,0,0,1,0,1,0,3.0973838841274,0,0,0,0,0,0,0,0,1,0,1
2018-01-25,23,36400,538,1,3,3,267911,240,1,2,1,362,0.2224532820020335,6,0,0,3,0,100,8,1264,2135,31420,16110,3033.333333333333,0.7923025703229293,6,15310,0.2691246034618407,0.25,5621.352133786865,0.1193013292321212,1.9718835989630443,0,5.750940762316582,1,1,36,0,0,0.5127144266573311,0,3399,0.01268700170205142,1,1,0,0,1,0,0,0,0,1,0,0,0,0,2671.333333333333,0,1,0,0,1,0,1,1,7.359990110161808,0,1,0,0,0,0,0,0,1,0,1
2018-01-26,57,172780,633,0,4,34,29964,60,2,4,2,1396,0.1463576766526293,0,3,0,0,0,97,14,29669,1567,31236,89401,14398.333333333334,0.7944550855806389,3,2385,0.1610769463282231,0.1673100977405387,740.3556163673667,0.0969489328209639,0.1483648976596624,1,0.6020793289966292,1,0,9,0,0,2.8620226014021832,0,31236,1.0424161521775404,1,1,1,0,0,0,0,0,0,1,1,0,0,1,13002.333333333334,0,1,1,1,4,1,1,0,0.17342184615206532,0,2,0,0,0,0,0,0,0,0,0
2018-01-28,37,34804,537,0,3,14,18328,84,0,3,0,110,0.2124987980691053,2,0,0,2,0,98,5,2217,232,64510,68958,2900.333333333333,0.7287771767083409,3,3512,0.2169540599459929,0.2072038055526804,414.9823565802983,0.0379136029411764,0.180945205622805,1,2.9338910810668226,1,0,9,0,0,1.06893398025143,0,2449,0.13361339953079818,1,1,0,0,0,0,0,0,0,1,0,1,0,0,2790.333333333333,0,1,1,0,1,0,1,0,0.5265910070392185,0,1,0,0,0,0,0,0,0,0,0
2018-01-29,40,82272,555,0,3,15,28179,48,1,2,0,431,0.2526390624444825,6,3,0,0,1,100,23,9190,376,66605,20798,6856.0,0.907795692117101,8,45807,0.1960615919463631,0.184449685594413,834.3245541973696,0.0628554761557532,0.1845303418692387,1,2.500335520731052,1,1,64,0,0,0.31225415127766265,0,9566,0.33946061036195885,1,1,1,0,1,0,0,0,0,1,0,1,0,1,6425.0,0,1,0,0,1,0,1,0,0.34250604694128084,0,2,0,0,1,1,0,0,0,0,1
2018-02-06,22,43126,553,0,0,2,126382,300,2,2,2,257,0.3822372384212685,0,2,0,3,1,100,7,3206,611,24180,41826,3593.833333333333,0.9410224083175988,3,3516,0.2814367680644947,0.2175958641343493,2302.173611537927,0.0714914924196763,0.7119032717894924,0,4.617141229239024,1,0,9,0,0,1.7297051403994872,0,3817,0.030201846767365863,1,1,0,0,0,0,0,0,0,1,1,0,0,0,3336.833333333333,0,1,0,1,2,0,1,1,2.930461196002504,0,1,0,0,1,1,0,0,1,0,0
2018-02-08,33,37961,598,1,4,15,26700,36,0,4,1,102,0.5229236585135684,2,2,0,0,0,97,10,1589,1819,63174,27410,3163.4166666666665,0.6601799741401658,4,35764,0.1705481140742176,0.1856579969014436,972.8641950284634,0.032233429015353,0.3396721444273974,0,2.039081091207941,1,0,16,0,0,0.4338741590819153,0,3408,0.12763566907606458,1,1,0,0,0,0,0,0,0,1,0,0,0,0,3061.4166666666665,0,1,1,0,4,1,0,0,0.7033349138612297,0,1,0,0,0,0,1,0,0,0,0
2018-02-12,41,37120,512,0,3,18,18079,24,2,3,1,409,0.3793705596006419,3,0,0,0,0,98,20,4907,920,66655,21546,3093.333333333333,0.9083063269823064,10,45109,0.2094506404084865,0.1873250623199609,908.9895302627796,0.1321770979209307,0.4259365066022124,1,2.5894236467692964,1,1,100,0,0,0.323241718674988,0,5827,0.32228982300884956,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2684.333333333333,0,1,1,1,1,0,0,0,0.48702890547129657,0,1,0,0,0,0,0,0,0,0,0
2018-02-12,26,38386,544,0,0,0,19952,36,1,2,1,560,0.2888322904955893,5,1,0,1,0,97,21,2829,221,75249,16304,3198.833333333333,0.9312172513531146,2,58945,0.1974752836967381,0.2096134197333305,751.2969843318161,0.1750091150580759,0.409801651439705,1,2.0374270683706124,0,0,4,0,0,0.21666445182724253,0,3050,0.15285921916503784,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2638.833333333333,0,1,0,0,2,0,0,0,0.519759293510824,1,1,0,0,0,0,0,0,1,0,1
2018-02-13,44,54931,494,0,3,19,113968,180,1,2,0,1087,0.3830342674075058,0,0,0,3,0,91,28,1096,9078,70720,23188,4577.583333333333,0.7152715134692853,2,47532,0.2709109204401431,0.25,2433.819599026968,0.2374096791219991,0.7689757601209183,0,2.478956953994256,0,0,4,0,0,0.3278799790726941,0,10174,0.08926988918039117,1,0,0,0,0,0,0,0,0,1,0,1,0,0,3490.583333333333,0,1,0,0,1,0,1,1,2.0747105512269717,0,0,0,0,0,0,0,0,0,0,1
2018-02-14,32,110311,604,0,0,9,224367,300,0,0,3,461,0.5220046181075426,0,3,0,3,0,97,29,2140,4055,29963,22063,9192.583333333334,0.8803983344901882,3,7900,0.2560802607099916,0.2357762372753316,4421.263470014736,0.0501436690445328,0.5310512009297865,1,1.2521320582440991,1,0,9,0,0,0.736316913629689,0,6195,0.027610889253369464,1,0,1,0,0,0,0,0,0,1,0,0,1,1,8731.583333333334,0,0,0,0,2,0,1,1,2.0339310319820147,0,1,0,0,0,0,0,0,0,0,0
2018-02-16,36,59318,600,0,1,14,125490,240,0,1,3,444,0.2561622943445956,4,0,0,3,0,95,6,3592,2478,76176,10655,4943.166666666667,0.9851452249146831,3,65521,0.2379349973304587,0.25,2633.0515703681963,0.0898027979099949,0.622360000748666,1,2.1379841697496738,1,0,9,0,0,0.1398716147918663,0,6070,0.04837000262967065,1,1,0,0,0,0,0,0,0,1,0,0,1,0,4499.166666666667,0,1,0,0,3,0,1,1,2.115511050422293,0,1,0,0,0,0,0,0,0,0,0
2018-02-20,32,16201,612,2,1,8,20125,24,1,1,0,312,0.2567113699528882,1,0,0,0,0,88,6,2216,1189,56775,32307,1350.0833333333333,0.7391271158261122,5,24468,0.1594774419476233,0.1610756302730946,986.41722870465,0.2309258002837229,0.9610193514128044,0,4.375615528387335,1,1,25,0,0,0.5690256446385796,0,3405,0.16918413991851336,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1038.0833333333333,0,1,0,0,3,0,0,0,1.2421306011603506,0,1,0,0,0,0,0,0,0,0,1
2018-02-20,62,29887,579,0,0,41,13734,120,1,1,3,185,0.3621278471821197,6,1,0,2,0,94,10,8036,111,71006,6784,2490.583333333333,0.8536790940820248,4,64222,0.2078819256496323,0.2161387310905373,280.2756460724087,0.074249974915549,0.1867389462145524,1,1.9493896420001933,1,0,16,0,0,0.09553987635021899,0,8147,0.5931561703676739,1,1,0,0,1,0,0,0,0,1,0,0,1,0,2305.583333333333,0,1,0,0,2,0,1,0,0.4595155246252677,0,1,0,0,0,0,0,0,0,0,1
2018-02-22,39,32423,505,0,0,16,13326,60,1,2,0,172,0.1488393670335511,4,0,0,0,0,95,9,286,250,124251,26592,2701.9166666666665,0.9316748302553678,1,97659,0.2248743868328949,0.2158395519698211,364.9043024385894,0.0636349622321566,0.1986388663253606,1,2.154824971250662,0,0,1,0,0,0.2140166757879149,0,536,0.04021910407443536,1,1,0,0,0,0,0,0,0,1,0,1,0,0,2529.9166666666665,0,1,0,0,2,0,1,0,0.4109918578830496,0,1,0,0,0,0,0,0,0,0,1
2018-02-22,27,23111,477,0,3,3,16821,60,0,0,0,64,0.3142758974184974,2,0,0,0,0,99,3,1237,1010,145924,9642,1925.9166666666667,0.882919258515195,4,136282,0.2389326107081305,0.2258979803661452,470.2360059173597,0.0332136833455866,0.2772491489429708,1,2.792406091301361,1,0,16,0,0,0.0660750385471989,0,2247,0.1335750802520509,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1861.9166666666667,0,0,0,0,1,0,1,0,0.727803738317757,0,1,0,0,0,0,0,0,1,0,0
2018-02-25,49,59250,605,0,0,24,31219,60,2,0,3,737,0.0515375134224291,1,1,0,0,0,96,5,5045,505,104538,86445,4937.5,0.8275773373660169,7,18093,0.1750872035485173,0.1440644521228077,733.0066236888013,0.1492355978535992,0.2976625744029161,1,1.458421380876313,1,1,49,0,0,0.8269162704827864,0,5550,0.1777706598334401,1,1,0,0,0,0,0,0,0,1,0,0,1,0,4200.5,0,0,0,0,2,0,1,0,0.5268940608597323,0,1,0,0,0,0,0,0,0,0,0
2018-02-27,25,28141,523,0,3,0,12299,48,1,1,3,196,0.3927097718154219,2,1,0,0,1,94,17,1974,410,87008,46188,2345.083333333333,0.4531640732444105,4,40820,0.2118543386353401,0.25,407.79951994302377,0.0835434944766099,0.2573649074456109,0,4.259056833671028,1,0,16,0,0,0.530841637072027,0,2384,0.1938211382113821,1,1,0,0,0,0,0,0,0,1,0,0,1,0,2149.083333333333,0,1,0,0,1,0,1,0,0.4370336152370123,0,1,0,0,1,1,1,0,1,0,1
2018-03-02,42,82544,522,1,1,19,25300,24,2,1,1,404,0.2262144188749475,5,2,0,4,0,93,1,11820,1466,200330,29793,6878.666666666667,0.8450213530897002,5,170537,0.2045346497999065,0.1601324360240975,1238.9267982955205,0.0587237753767139,0.2388090699591337,0,2.7973818545386946,1,1,25,0,0,0.14871887026970365,0,13286,0.5251175842852062,1,1,0,0,0,0,0,0,0,1,0,0,0,1,6474.666666666667,0,1,0,1,3,0,0,0,0.3064994851293234,1,1,0,0,0,0,0,0,0,0,0
2018-03-02,18,30053,483,0,2,0,162679,300,2,1,3,244,0.0666844873268766,2,0,0,3,0,96,10,3021,160,26115,40595,2504.4166666666665,0.7165420037688485,6,1260,0.3164998850900053,0.25,3396.1367217432667,0.0973889905205388,1.452906724128362,0,4.249158021999125,1,1,36,0,0,1.5544110889875937,0,3181,0.019553725104499632,1,1,0,0,0,0,0,0,0,1,0,0,1,0,2260.4166666666665,0,1,0,1,5,1,1,1,5.412890131097358,0,1,0,0,0,0,0,0,1,0,0
2018-03-02,24,52303,601,0,2,2,20909,24,2,4,3,398,0.1905309534712883,1,0,0,1,0,97,5,1018,700,19927,40170,4358.583333333333,0.5751689716838556,5,1447,0.1649869956981056,0.1623211461949753,1026.0901370164486,0.091293128165918,0.3266573954735235,1,1.8412347353948495,1,1,25,0,0,2.015756724207146,0,1718,0.08216164514586323,1,1,0,0,0,0,0,0,0,1,0,0,1,0,3960.583333333333,0,1,1,1,5,1,0,0,0.3997591006423983,1,1,0,0,0,0,1,0,1,0,0
2018-03-02,42,91459,623,1,4,23,15678,24,2,2,2,702,0.1289288210783701,3,0,1,1,0,98,1,1730,4382,208409,42665,7621.583333333333,0.7234495186603515,2,165744,0.1539150193790901,0.152016758375497,761.6767808076446,0.092094762274382,0.1920184689102747,0,2.8859521792365586,0,0,4,0,0,0.20471666426754953,0,6112,0.38982077938644044,1,1,0,0,0,0,0,0,0,1,1,0,0,1,6919.583333333333,0,1,0,1,4,1,0,0,0.17141919965012026,1,1,0,1,0,1,0,0,0,0,0
2018-03-04,48,15000,576,0,1,27,141464,240,3,1,3,144,0.2788271876717458,4,2,0,3,0,99,27,1222,682,179845,4475,1250.0,0.9044892248416504,3,175370,0.2499649519039115,0.2088155210222036,2501.471605008128,0.1151079136690647,2.11468553557804,0,5.817764020174813,1,0,9,0,0,0.024882399386141476,0,1904,0.013459159509419292,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1106.0,0,1,0,0,3,0,1,1,9.430304646356909,0,0,0,0,0,0,0,0,0,0,0
2018-03-08,42,194083,650,0,1,20,14605,24,0,0,3,2269,0.017834091383346,0,2,1,4,0,92,28,24079,10012,140564,12568,16173.583333333334,0.895526079802458,6,127996,0.140397296920545,0.1337682155772749,696.9361485100262,0.1402818207578763,0.1833701732765929,1,3.657781221765287,1,1,36,0,0,0.08941059296410914,0,34091,2.334040805148569,1,0,0,0,0,0,0,0,1,0,0,0,1,1,13904.583333333334,0,0,0,0,3,0,0,0,0.07525092228107418,1,0,0,1,0,1,0,0,0,0,0
2018-03-08,38,35530,546,0,3,17,10482,12,1,2,2,234,0.599637476054546,6,0,0,1,0,97,23,2140,1872,45121,11754,2960.833333333333,0.8652618637250628,10,33367,0.1883143775441131,0.1759921594298945,958.9914966353668,0.0790051207022677,0.4027881931130606,1,2.386195394980774,1,1,100,0,0,0.26049377243916494,0,4012,0.3827148716970333,1,1,0,0,1,0,0,0,0,1,1,0,0,0,2726.833333333333,0,1,0,0,1,0,0,0,0.2950099912752244,1,1,0,0,0,0,0,0,0,0,1
2018-03-12,36,17811,573,1,1,13,15344,24,1,2,2,362,0.5751217024152233,5,2,0,1,0,96,10,191,513,299119,10665,1484.25,0.8624345262509812,7,288454,0.1789096362417634,0.1732230815093619,761.0205343999863,0.2437300117825282,0.7561154919373752,0,2.196545263499444,1,1,49,0,0,0.035654586787911204,0,704,0.045878136200716846,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1122.25,0,1,0,0,3,0,0,0,0.861441724679991,1,1,0,0,0,0,0,0,0,0,1
2018-03-12,22,40193,579,0,0,1,15168,48,1,1,0,376,0.5015205789404511,3,2,1,0,0,96,24,736,1069,26639,111133,3349.4166666666665,0.6444904148154627,6,8325,0.1839067522876479,0.2010479620707982,462.4150628803958,0.1122248476557642,0.2502420284682191,1,4.530288440350908,1,1,36,0,0,4.171659159159159,0,1805,0.1189926824444591,1,0,0,0,0,0,0,0,0,1,0,1,0,0,2973.4166666666665,0,1,0,0,2,0,1,0,0.37736975668010153,0,0,0,1,0,1,1,0,1,0,1
2018-03-13,31,35389,539,0,0,6,24571,120,0,0,3,297,0.2818153804265427,5,1,0,2,1,97,14,3688,875,33159,21309,2949.083333333333,0.7440889593719773,5,11850,0.2280273407155709,0.25,558.9729284313868,0.10067512217169,0.2901521183349804,1,4.221511249356898,1,1,25,0,0,0.642611580217129,0,4563,0.18569916978674914,1,1,0,0,0,0,0,0,0,1,0,0,1,0,2652.083333333333,0,0,0,0,2,0,1,0,0.6942921729302063,0,1,0,0,1,1,0,0,0,0,0
2018-03-15,34,48899,557,0,1,11,92578,240,0,0,2,326,0.0545079089310838,2,2,0,3,0,100,26,1800,501,18604,60037,4074.9166666666665,0.7693936574125233,8,4337,0.2593589544032645,0.25,1942.486638628949,0.0799820081372288,0.5565586404601705,1,2.220799699989497,1,1,64,0,0,3.2269282450954044,0,2301,0.024854448633059332,1,0,0,0,0,0,0,0,0,1,1,0,0,0,3748.9166666666665,0,0,0,0,3,0,1,0,1.8932106339468302,0,0,0,0,0,0,0,0,0,0,0
2018-03-15,52,88534,567,0,3,30,119469,360,2,0,0,1017,0.1581219916807436,5,1,0,3,0,96,16,5199,606,34931,19157,7377.833333333333,0.6642940263291062,5,15774,0.2944227051432028,0.25,2490.4252506750718,0.1378266663655049,0.4753360175287518,1,1.8663303819625456,1,1,25,0,0,0.548408336196038,0,5805,0.04858960408470746,1,1,0,0,0,0,0,0,0,1,0,1,0,1,6360.833333333333,0,0,0,0,1,0,1,1,1.3493985429491162,0,1,0,0,0,0,1,0,0,0,0
2018-03-15,44,72050,499,1,0,22,13763,24,1,1,0,538,0.6057466762174922,0,1,0,1,0,97,18,10912,694,63176,10879,6004.166666666667,0.8725262608679393,3,52297,0.2158824529417293,0.1838344622524645,689.6580313128671,0.0895895201354389,0.2044336318136383,1,1.3128681683575238,1,0,9,0,0,0.17219874321351125,0,11606,0.8432141819238593,1,1,0,0,0,0,0,0,0,1,0,1,0,1,5466.166666666667,0,1,0,0,2,0,0,0,0.19101747373388295,1,1,0,0,0,0,0,0,0,0,1
