ApplicationDate,Age,AnnualIncome,CreditScore,EmploymentStatus,EducationLevel,Experience,LoanAmount,LoanDuration,MaritalStatus,NumberOfDependents,HomeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilisationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,DebtToIncomeRatio,TotalDebtToIncomeRatio,LoanApproved,RiskScore
2018-01-22,27,67839,506,Employed,Bachelor,5,12585,48,Married,0,Rent,418,0.5042842511632722,3,2,0,Other,0,92,11,19061,124,32225,79329,5653.25,0.6586589014707762,5,9419,0.2203600850910217,0.2212165514739971,397.33564455541557,0.07392669231109343,0.1441987256586489,1,1.214062785611849
2018-01-25,43,22492,562,Employed,High School,25,264227,300,Single,3,Own,78,0.4756453839072005,3,1,0,Home,0,92,16,994,608,92596,19463,1874.3333333333333,0.8107493791836188,6,73133,0.2771211419114432,0.23677524150948784,5228.415889121618,0.041592605758976185,2.8295854367872124,0,7.604207405845583
2018-01-25,29,26718,553,Employed,High School,5,82759,360,Married,1,Rent,380,0.07197795460037733,2,0,0,Home,0,94,26,1511,285,36203,51104,2226.5,0.7938759231539341,5,7190,0.3013309250329649,0.25,1725.1764333895671,0.17059483726150393,0.9450848185811749,0,3.7256012132471916
2018-01-25,23,36400,538,Self-Employed,High School,3,267911,240,Married,2,Other,362,0.22245328200203354,6,0,0,Home,0,100,8,1264,2135,31420,16110,3033.3333333333335,0.7923025703229293,6,15310,0.2691246034618407,0.25,5621.352133786865,0.11930132923212128,1.9718835989630445,0,5.750940762316582
2018-01-26,57,172780,633,Employed,Master,34,29964,60,Single,4,Own,1396,0.1463576766526293,0,3,0,Auto,0,97,14,29669,1567,31236,89401,14398.333333333334,0.7944550855806389,3,2385,0.1610769463282231,0.16731009774053876,740.3556163673667,0.09694893282096392,0.14836489765966246,1,0.6020793289966292
2018-01-28,37,34804,537,Employed,High School,14,18328,84,Divorced,3,Mortgage,110,0.21249879806910538,2,0,0,Education,0,98,5,2217,232,64510,68958,2900.3333333333335,0.7287771767083409,3,3512,0.21695405994599296,0.2072038055526804,414.9823565802983,0.03791360294117647,0.180945205622805,1,2.9338910810668226
2018-01-29,40,82272,555,Employed,High School,15,28179,48,Married,2,Mortgage,431,0.2526390624444825,6,3,0,Auto,1,100,23,9190,376,66605,20798,6856.0,0.907795692117101,8,45807,0.19606159194636316,0.184449685594413,834.3245541973696,0.06285547615575325,0.1845303418692387,1,2.500335520731052
2018-02-06,22,43126,553,Employed,Associate,2,126382,300,Single,2,Own,257,0.38223723842126855,0,2,0,Home,1,100,7,3206,611,24180,41826,3593.8333333333335,0.9410224083175988,3,3516,0.2814367680644947,0.21759586413434934,2302.173611537927,0.07149149241967638,0.7119032717894924,0,4.617141229239024
2018-02-08,33,37961,598,Self-Employed,Master,15,26700,36,Divorced,4,Other,102,0.5229236585135684,2,2,0,Auto,0,97,10,1589,1819,63174,27410,3163.4166666666665,0.6601799741401658,4,35764,0.17054811407421763,0.18565799690144363,972.8641950284634,0.03223342901535302,0.3396721444273974,0,2.039081091207941
2018-02-12,41,37120,512,Employed,High School,18,18079,24,Single,3,Other,409,0.3793705596006419,3,0,0,Auto,0,98,20,4907,920,66655,21546,3093.3333333333335,0.9083063269823064,10,45109,0.20945064040848657,0.1873250623199609,908.9895302627795,0.13217709792093071,0.42593650660221244,1,2.5894236467692964
2018-02-12,26,38386,544,Employed,Associate,0,19952,36,Married,2,Other,560,0.28883229049558934,5,1,0,Debt Consolidation,0,97,21,2829,221,75249,16304,3198.8333333333335,0.9312172513531146,2,58945,0.19747528369673814,0.20961341973333059,751.2969843318161,0.17500911505807593,0.409801651439705,1,2.0374270683706124
2018-02-13,44,54931,494,Employed,High School,19,113968,180,Married,2,Mortgage,1087,0.38303426740750585,0,0,0,Home,0,91,28,1096,9078,70720,23188,4577.583333333333,0.7152715134692853,2,47532,0.27091092044014314,0.25,2433.8195990269674,0.23740967912199917,0.7689757601209183,0,2.4789569539942558
2018-02-14,32,110311,604,Employed,Associate,9,224367,300,Divorced,0,Rent,461,0.5220046181075426,0,3,0,Home,0,97,29,2140,4055,29963,22063,9192.583333333334,0.8803983344901882,3,7900,0.2560802607099916,0.23577623727533162,4421.263470014736,0.050143669044532865,0.5310512009297865,1,1.2521320582440993
2018-02-16,36,59318,600,Employed,Bachelor,14,125490,240,Divorced,1,Rent,444,0.2561622943445956,4,0,0,Home,0,95,6,3592,2478,76176,10655,4943.166666666667,0.9851452249146831,3,65521,0.23793499733045875,0.25,2633.0515703681963,0.08980279790999494,0.622360000748666,1,2.1379841697496738
2018-02-20,32,16201,612,Unemployed,Bachelor,8,20125,24,Married,1,Mortgage,312,0.2567113699528882,1,0,0,Auto,0,88,6,2216,1189,56775,32307,1350.0833333333333,0.7391271158261122,5,24468,0.1594774419476233,0.1610756302730946,986.4172287046499,0.23092580028372295,0.9610193514128045,0,4.375615528387335
2018-02-20,62,29887,579,Employed,Associate,41,13734,120,Married,1,Rent,185,0.36212784718211977,6,1,0,Education,0,94,10,8036,111,71006,6784,2490.5833333333335,0.8536790940820248,4,64222,0.20788192564963237,0.2161387310905373,280.2756460724087,0.07424997491554901,0.18673894621455245,1,1.9493896420001935
2018-02-22,39,32423,505,Employed,Associate,16,13326,60,Married,2,Mortgage,172,0.1488393670335511,4,0,0,Auto,0,95,9,286,250,124251,26592,2701.9166666666665,0.9316748302553678,1,97659,0.2248743868328949,0.21583955196982116,364.9043024385894,0.06363496223215663,0.19863886632536068,1,2.154824971250662
2018-02-22,27,23111,477,Employed,High School,3,16821,60,Divorced,0,Mortgage,64,0.3142758974184974,2,0,0,Auto,0,99,3,1237,1010,145924,9642,1925.9166666666667,0.882919258515195,4,136282,0.23893261070813057,0.2258979803661452,470.23600591735965,0.03321368334558664,0.27724914894297087,1,2.792406091301361
2018-02-25,49,59250,605,Employed,Associate,24,31219,60,Single,0,Rent,737,0.0515375134224291,1,1,0,Auto,0,96,5,5045,505,104538,86445,4937.5,0.8275773373660169,7,18093,0.17508720354851734,0.14406445212280772,733.0066236888013,0.14923559785359927,0.2976625744029161,1,1.458421380876313
2018-02-27,25,28141,523,Employed,High School,0,12299,48,Married,1,Rent,196,0.39270977181542194,2,1,0,Auto,1,94,17,1974,410,87008,46188,2345.0833333333335,0.4531640732444105,4,40820,0.21185433863534014,0.25,407.79951994302377,0.08354349447660994,0.25736490744561097,0,4.259056833671028
2018-03-02,42,82544,522,Self-Employed,Bachelor,19,25300,24,Single,1,Other,404,0.22621441887494756,5,2,0,Other,0,93,1,11820,1466,200330,29793,6878.666666666667,0.8450213530897002,5,170537,0.20453464979990657,0.1601324360240975,1238.9267982955205,0.058723775376713985,0.23880906995913373,0,2.7973818545386946
2018-03-02,18,30053,483,Employed,Doctorate,0,162679,300,Single,1,Rent,244,0.06668448732687665,2,0,0,Home,0,96,10,3021,160,26115,40595,2504.4166666666665,0.7165420037688485,6,1260,0.3164998850900053,0.25,3396.1367217432667,0.09738899052053884,1.452906724128362,0,4.249158021999125
2018-03-02,24,52303,601,Employed,Doctorate,2,20909,24,Single,4,Rent,398,0.1905309534712883,1,0,0,Debt Consolidation,0,97,5,1018,700,19927,40170,4358.583333333333,0.5751689716838556,5,1447,0.16498699569810568,0.1623211461949753,1026.0901370164486,0.091293128165918,0.3266573954735235,1,1.8412347353948497
2018-03-02,42,91459,623,Self-Employed,Master,23,15678,24,Single,2,Own,702,0.1289288210783701,3,0,1,Debt Consolidation,0,98,1,1730,4382,208409,42665,7621.583333333333,0.7234495186603515,2,165744,0.15391501937909013,0.15201675837549705,761.6767808076446,0.09209476227438204,0.19201846891027471,0,2.8859521792365586
2018-03-04,48,15000,576,Employed,Bachelor,27,141464,240,Widowed,1,Rent,144,0.27882718767174586,4,2,0,Home,0,99,27,1222,682,179845,4475,1250.0,0.9044892248416505,3,175370,0.24996495190391152,0.20881552102220363,2501.471605008128,0.11510791366906475,2.11468553557804,0,5.817764020174813
2018-03-08,42,194083,650,Employed,Bachelor,20,14605,24,Divorced,0,Rent,2269,0.017834091383346042,0,2,1,Other,0,92,28,24079,10012,140564,12568,16173.583333333334,0.895526079802458,6,127996,0.14039729692054503,0.13376821557727492,696.9361485100262,0.1402818207578763,0.18337017327659297,1,3.657781221765287
2018-03-08,38,35530,546,Employed,High School,17,10482,12,Married,2,Own,234,0.599637476054546,6,0,0,Debt Consolidation,0,97,23,2140,1872,45121,11754,2960.8333333333335,0.8652618637250628,10,33367,0.18831437754411315,0.1759921594298945,958.9914966353668,0.07900512070226774,0.4027881931130606,1,2.386195394980774
2018-03-12,36,17811,573,Self-Employed,Bachelor,13,15344,24,Married,2,Own,362,0.5751217024152233,5,2,0,Debt Consolidation,0,96,10,191,513,299119,10665,1484.25,0.8624345262509812,7,288454,0.17890963624176348,0.17322308150936197,761.0205343999863,0.2437300117825282,0.7561154919373752,0,2.196545263499444
2018-03-12,22,40193,579,Employed,Associate,1,15168,48,Married,1,Mortgage,376,0.5015205789404511,3,2,1,Auto,0,96,24,736,1069,26639,111133,3349.4166666666665,0.6444904148154627,6,8325,0.1839067522876479,0.20104796207079825,462.4150628803958,0.11222484765576421,0.25024202846821914,1,4.530288440350908
2018-03-13,31,35389,539,Employed,Associate,6,24571,120,Divorced,0,Rent,297,0.28181538042654275,5,1,0,Education,1,97,14,3688,875,33159,21309,2949.0833333333335,0.7440889593719773,5,11850,0.22802734071557096,0.25,558.9729284313868,0.10067512217169006,0.2901521183349804,1,4.221511249356898
2018-03-15,34,48899,557,Employed,Bachelor,11,92578,240,Divorced,0,Own,326,0.05450790893108385,2,2,0,Home,0,100,26,1800,501,18604,60037,4074.9166666666665,0.7693936574125233,8,4337,0.2593589544032645,0.25,1942.4866386289493,0.07998200813722885,0.5565586404601705,1,2.220799699989497
2018-03-15,52,88534,567,Employed,High School,30,119469,360,Single,0,Mortgage,1017,0.15812199168074367,5,1,0,Home,0,96,16,5199,606,34931,19157,7377.833333333333,0.6642940263291062,5,15774,0.2944227051432028,0.25,2490.4252506750713,0.13782666636550495,0.4753360175287518,1,1.8663303819625456
2018-03-15,44,72050,499,Self-Employed,Associate,22,13763,24,Married,1,Mortgage,538,0.6057466762174922,0,1,0,Debt Consolidation,0,97,18,10912,694,63176,10879,6004.166666666667,0.8725262608679393,3,52297,0.21588245294172934,0.18383446225246455,689.6580313128671,0.08958952013543893,0.2044336318136383,1,1.3128681683575238
2018-03-17,18,88884,547,Employed,Master,0,9727,48,Married,3,Own,211,0.14637136776149676,3,0,0,Debt Consolidation,0,93,19,749,662,36504,23194,3984.4166666666665,0.9562431457634791,7,13310,0.1997956909010515,0.20974125227217072,301.06795960051767,0.05294302143230528,0.12848542635036514,1,1.9428353802593192
2018-03-19,43,65320,579,Employed,High School,19,157939,240,Widowed,3,Mortgage,284,0.22988721647897786,3,0,0,Home,0,93,14,2252,650,106094,14784,5443.333333333333,0.8412263177296061,4,91310,0.2484924926232629,0.25,3313.9017608764243,0.05216432988428336,0.6608525857239499,0,2.3308074077062266
2018-03-20,35,51265,597,Self-Employed,Associate,14,8875,48,Married,1,Rent,447,0.4084827570625582,3,2,0,Debt Consolidation,0,93,10,1586,1488,84314,78963,4272.083333333333,0.8342335264980719,3,5351,0.17477277657101312,0.18182539529548145,261.5504253748657,0.10460830391793592,0.1658171325252723,1,2.01685992594074
2018-03-21,31,113205,559,Employed,Master,10,21874,12,Divorced,3,Rent,507,0.32832643115784904,3,2,0,Debt Consolidation,0,92,8,8429,2659,110343,4360,9433.75,0.8570504097544183,4,105983,0.18199827492780646,0.19711328782432405,2023.2663463622287,0.05373751291767138,0.26818583919682326,1,1.3206596752406852
2018-03-21,47,21397,642,Employed,Bachelor,25,90421,360,Divorced,5,Mortgage,156,0.3982497774305057,4,2,0,Home,1,94,16,2418,559,180956,50614,1783.0833333333333,0.9498245011706126,6,130342,0.25685306071990105,0.23862636964588788,1799.5715262226508,0.08743986174038956,1.0961211786945588,0,5.593162092036885
2018-03-22,52,72961,584,Employed,Bachelor,32,39625,48,Married,2,Own,874,0.7210232024705092,2,1,0,Auto,0,100,11,866,1990,198797,23807,6080.083333333333,0.845388118818653,5,174990,0.18164681018686354,0.15819698795544118,1119.3279561611428,0.14372439121318845,0.3277915869422076,1,2.184606856090456
2018-03-23,51,46751,565,Employed,High School,30,30846,36,Divorced,2,Mortgage,384,0.3114105802991303,7,1,1,Auto,0,94,17,2426,2967,63304,19022,3895.9166666666665,0.7736774694275292,6,44282,0.1870841986949681,0.16487810731191646,1091.8972167416512,0.0985394435771871,0.37873461071573283,1,3.8378747402353195
2018-03-26,29,66212,565,Employed,Associate,7,17222,60,Married,4,Mortgage,325,0.3938824432900566,2,0,0,Debt Consolidation,0,95,13,8242,1260,73021,19488,5517.666666666667,0.7640271106170179,7,53533,0.1949385002447089,0.18159734793431212,438.82349732601983,0.05889103648224209,0.1384072536831396,1,0.5910568474401395
2018-03-27,36,4645,597,Unemployed,Master,12,5682,24,Married,1,Rent,326,0.329062464765112,2,1,0,Debt Consolidation,0,92,25,139,901,31491,32770,387.0833333333333,0.8989607910296898,4,3444,0.1666613086353243,0.1612318017019541,278.5429332169171,0.8400257676615848,1.5577657716562179,0,5.038653003884557
2018-03-28,43,16310,630,Employed,Bachelor,20,125315,240,Married,0,Own,212,0.1367025382298291,3,1,0,Home,0,96,5,838,551,468949,19416,1359.1666666666667,0.9178059920376879,7,449533,0.2229346484565669,0.229879683557151,2426.1467907209176,0.15586325205244456,1.9395761235541606,1,5.477094438139484
2018-03-29,51,50836,565,Employed,Bachelor,28,32456,84,Single,5,Own,597,0.34983380736892045,8,1,0,Education,0,93,15,786,3020,16471,57565,4236.333333333333,0.6417675901738978,8,7936,0.2030969178538389,0.19010665023716294,701.5155601055727,0.1408904971680302,0.30644640342327867,1,2.5093178432210284
2018-03-31,34,52267,587,Employed,High School,10,20343,36,Married,1,Own,118,0.11304175179495583,1,1,0,Debt Consolidation,0,95,16,1436,5043,23343,3681,4355.583333333333,0.9224096366403428,3,19662,0.1759801353267755,0.20024781962110835,756.275673310356,0.02708544539872607,0.20067920349900098,0,2.2155693920640314
2018-03-31,37,83268,499,Employed,High School,15,23097,36,Married,3,Mortgage,693,0.17255625945189498,1,0,0,Debt Consolidation,0,95,10,354,2845,36897,12947,6939.0,0.7968357338449727,2,23950,0.22001187532816877,0.22065439460666386,882.8670107448908,0.09985590778097983,0.22707017445891797,1,2.0773581632825575
2018-04-01,26,25040,566,Employed,Doctorate,3,181953,300,Married,3,Rent,269,0.3670845635842883,5,1,0,Home,0,96,17,5261,533,5794,9383,2086.6666666666665,0.9180505436609465,5,2016,0.2750278772967151,0.25,3798.5066599336897,0.1288519878652403,1.948350627463048,0,4.851960118228114
2018-04-02,25,89557,525,Employed,Associate,3,13978,120,Divorced,1,Own,1480,0.21701546882458095,3,1,0,Education,0,100,27,3274,1895,47391,5107,7463.083333333333,0.866766709091849,7,42284,0.2348863278706178,0.25,317.9896460711377,0.19828288805278613,0.240885526832427,1,1.9551518522629805
2018-04-03,49,203999,475,Self-Employed,Bachelor,26,13057,48,Widowed,1,Mortgage,485,0.5886593501133297,1,0,0,Debt Consolidation,0,100,15,3989,2055,63207,27907,16999.916666666668,0.8277520532735503,5,35300,0.23586928906293664,0.22625455426818356,415.82122486372225,0.028527873497017315,0.05298662669348548,1,1.5979630611557882
2018-04-04,56,35470,598,Employed,High School,35,25198,24,Married,1,Rent,457,0.14173786055748325,3,1,0,Auto,0,100,26,2570,411,28574,91223,2955.8333333333335,0.5945086313925835,3,7158,0.16653363989754313,0.1553184040236267,1228.1433287395573,0.1545572402908517,0.5699148848676706,0,2.505823303840623
2018-04-04,39,27251,556,Employed,Bachelor,21,16219,60,Married,0,Rent,437,0.32240384232776476,4,0,0,Auto,0,97,8,501,1289,65865,33151,2270.9166666666665,0.9545459170786862,6,32714,0.19942350008191734,0.22719032206475576,454.60687163149606,0.19234860433554635,0.39244699627986473,1,2.05603930570057
2018-04-05,52,50638,630,Employed,Master,30,14859,36,Married,0,Own,130,0.24794139301001508,3,1,0,Debt Consolidation,0,97,9,847,370,14917,15576,4219.833333333333,0.9504707890118097,5,7656,0.15440160707956796,0.1577058322512156,520.7169312451878,0.030799605133267523,0.15416788104525675,1,0.6110284342180634
2018-04-05,44,7360,585,Unemployed,Bachelor,19,240289,120,Married,1,Mortgage,204,0.27251539580880124,4,0,0,Home,0,97,9,4049,1653,22092,49133,613.3333333333334,0.7884311562752983,7,3634,0.2055974004515526,0.24965842787402562,5460.619848596841,0.332067281606077,3.0,0,7.523198350243675
2018-04-05,32,61621,585,Employed,High School,8,10412,24,Single,0,Own,592,0.23888913145838286,5,0,0,Debt Consolidation,0,99,11,19625,1016,104346,37259,5135.083333333333,0.8603633334476255,6,67087,0.1728127025761325,0.15148819564095628,505.57948512915704,0.11526292732789253,0.2136997034307901,1,2.2780099268119427
2018-04-05,44,41098,639,Employed,Bachelor,20,28134,48,Married,1,Rent,246,0.658547606693349,2,2,0,Auto,0,94,27,1186,13807,97859,8718,3424.8333333333335,0.9240348338088641,7,89141,0.15406119240796687,0.13170050932829122,757.1414586292302,0.07180734614449039,0.29281677216129315,1,0.9775730333382637
2018-04-06,58,151322,596,Employed,Bachelor,33,260263,240,Married,0,Own,789,0.33688961467806866,4,0,0,Home,0,93,9,22964,1452,72846,11963,12610.166666666666,0.7503826048413893,4,60883,0.2401173629448647,0.24666467521431595,5390.626129899225,0.06256360104140511,0.4900122481318851,0,2.2178635241621034
2018-04-07,39,22685,587,Self-Employed,Associate,16,313107,240,Single,2,Mortgage,225,0.028089972386788647,7,2,0,Home,1,90,22,1690,559,121941,137773,1890.4166666666667,0.6966603734574838,3,3987,0.24466357586448256,0.25,6569.661949504142,0.1189584526589417,3.0,0,9.500015641166422
2018-04-09,58,21519,630,Employed,Master,35,155728,360,Divorced,3,Rent,118,0.3710555053982822,5,2,0,Home,0,99,11,273,290,56876,81364,1793.25,0.8499892646522857,6,6232,0.2629889681490246,0.24418193643317332,3171.0780751484067,0.06576564023965445,1.833121401782587,0,5.743992778388657
2018-04-09,18,87080,603,Employed,Bachelor,0,152399,240,Married,2,Own,551,0.25198430846294556,2,1,0,Home,0,97,7,1796,756,104572,33181,7256.666666666667,0.8102001532264832,10,71391,0.23648356598055867,0.23943092041077013,3067.5192764332173,0.07591971708078812,0.4985788742616843,1,0.9328351990666061
2018-04-09,49,15026,535,Employed,Master,27,11033,36,Single,1,Rent,242,0.09374225229264455,2,0,0,Debt Consolidation,0,94,28,4218,953,36723,53005,1252.1666666666667,0.6585498732896643,7,6666,0.2018271841734581,0.1906238334527128,404.7739434063576,0.19311078600877776,0.5161116718231341,1,3.192009131653327
2018-04-10,41,49345,593,Employed,Bachelor,17,110661,360,Married,5,Mortgage,837,0.041331781848311704,4,0,0,Home,0,100,23,618,313,18678,72005,4112.083333333333,0.7362629824689194,6,1146,0.28140355894741664,0.25,2306.8155644138146,0.2034969710476731,0.7643452149232283,0,3.3741910891090763
2018-04-10,36,221669,564,Employed,High School,11,24216,24,Single,0,Rent,1319,0.09475531086853696,5,2,0,Other,1,95,4,87519,1673,89192,76722,18472.416666666668,0.7525377143721422,4,12470,0.1835237025362151,0.19292012984311327,1224.1334744186872,0.07139989444291572,0.13766448948274432,1,2.4134670715599755
2018-04-11,41,40142,581,Employed,Associate,19,21386,120,Single,1,Mortgage,303,0.01117929748373576,2,1,0,Education,0,100,19,1183,1385,159038,54228,3345.1666666666665,0.720901567664638,3,104810,0.20699263463494644,0.18735911992890125,395.5334053346237,0.09055137719778852,0.20875630980762774,1,2.3388887144977337
2018-04-11,18,18872,574,Employed,High School,0,18481,60,Divorced,0,Rent,124,0.07764200877970136,3,2,0,Auto,0,94,9,4785,763,51010,10335,1572.6666666666667,0.7556264792819656,5,40675,0.190456138141112,0.1593499246001512,448.78391815234806,0.07879686507095954,0.3639804605924686,1,2.279406185423608
2018-04-13,37,7416,634,Unemployed,Master,14,24310,60,Divorced,1,Mortgage,97,0.22724848477728574,3,0,1,Auto,0,97,3,658,81,30115,26788,618.0,0.7117557446376036,3,3327,0.16052467105044985,0.16616913798130276,599.1699668045216,0.1567043618739903,1.1246687670509234,0,6.101603178662714
2018-04-14,44,49920,616,Self-Employed,Bachelor,20,7891,36,Single,0,Mortgage,614,0.18162238554259244,4,2,0,Debt Consolidation,0,98,19,5797,1714,93429,55971,4160.0,0.7859604030436945,2,37458,0.16124340121678565,0.15678543775970646,276.17344467397373,0.1475606825282384,0.21393257502378607,1,1.0774932373319068
2018-04-14,57,54120,624,Employed,Bachelor,37,29218,60,Divorced,0,Mortgage,354,0.4522835500230841,1,2,0,Auto,0,95,13,11397,1182,13126,26860,4510.0,0.8801160352482409,3,10099,0.16557064361539606,0.18049167971673707,742.7268860757066,0.0784748392817557,0.24312278565189685,1,1.1604667765173309
2018-04-15,33,68485,596,Employed,Associate,15,104197,300,Single,0,Mortgage,859,0.0771404734376427,3,0,0,Home,0,93,16,14349,525,105130,19931,5707.083333333333,0.8658670219213283,2,85199,0.25988851205356484,0.25,2175.2485446522487,0.1504883425551484,0.5315704707626171,1,2.312038327221712
2018-04-16,30,21108,494,Employed,High School,9,10763,24,Single,1,Own,136,0.23722645719674737,2,2,0,Debt Consolidation,0,97,4,614,184,17627,13934,1759.0,0.9587695577992634,7,3693,0.2183209906279617,0.19523721970923297,545.2905439997805,0.07727272727272727,0.3870968999998753,1,2.9326204145152777
2018-04-17,33,280873,643,Employed,Bachelor,13,35193,24,Single,1,Mortgage,728,0.27362092386823894,3,0,0,Auto,0,94,10,3197,362,84034,5182,12033.583333333334,0.5596903278384565,7,78852,0.14411715772312794,0.14111977258563188,1691.5796930777838,0.06049233112903784,0.2010522197620289,1,0.5701784129796486
